Plant Name,Date,SN,Port,Energy,Year,Microinversor
Wilkne,2021-11-28,106272403152,1,2.328,2021,Micro_01
Wilkne,2021-11-28,106272403152,2,2.324,2021,Micro_01
Wilkne,2021-11-28,106272403152,3,2.325,2021,Micro_01
Wilkne,2021-11-28,106272403152,4,2.341,2021,Micro_01
Wilkne,2021-11-28,106272403916,1,2.336,2021,Micro_02
Wilkne,2021-11-28,106272403916,2,2.34,2021,Micro_02
Wilkne,2021-11-28,106272403916,3,2.308,2021,Micro_02
Wilkne,2021-11-28,106272403916,4,2.351,2021,Micro_02
Wilkne,2021-11-28,116191966583,1,0.0,2021,Micro_04
Wilkne,2021-11-28,116191966583,2,0.0,2021,Micro_04
Wilkne,2021-11-28,116191966583,3,2.156,2021,Micro_04
Wilkne,2021-11-28,116191966583,4,2.157,2021,Micro_04
Wilkne,2021-11-29,106272403152,1,2.156,2021,Micro_01
Wilkne,2021-11-29,106272403152,2,2.152,2021,Micro_01
Wilkne,2021-11-29,106272403152,3,2.155,2021,Micro_01
Wilkne,2021-11-29,106272403152,4,2.169,2021,Micro_01
Wilkne,2021-11-29,106272403916,1,2.164,2021,Micro_02
Wilkne,2021-11-29,106272403916,2,2.165,2021,Micro_02
Wilkne,2021-11-29,106272403916,3,2.137,2021,Micro_02
Wilkne,2021-11-29,106272403916,4,2.177,2021,Micro_02
Wilkne,2021-11-29,116191966583,1,0.0,2021,Micro_04
Wilkne,2021-11-29,116191966583,2,0.0,2021,Micro_04
Wilkne,2021-11-29,116191966583,3,2.034,2021,Micro_04
Wilkne,2021-11-29,116191966583,4,2.032,2021,Micro_04
Wilkne,2021-12-26,106272403152,1,0.976,2021,Micro_01
Wilkne,2021-12-26,106272403152,2,0.971,2021,Micro_01
Wilkne,2021-12-26,106272403152,3,0.963,2021,Micro_01
Wilkne,2021-12-26,106272403152,4,0.973,2021,Micro_01
Wilkne,2021-12-26,106272403916,1,0.97,2021,Micro_02
Wilkne,2021-12-26,106272403916,2,0.972,2021,Micro_02
Wilkne,2021-12-26,106272403916,3,0.963,2021,Micro_02
Wilkne,2021-12-26,106272403916,4,0.976,2021,Micro_02
Wilkne,2021-12-26,116191966583,1,0.0,2021,Micro_04
Wilkne,2021-12-26,116191966583,2,0.0,2021,Micro_04
Wilkne,2021-12-26,116191966583,3,0.929,2021,Micro_04
Wilkne,2021-12-26,116191966583,4,0.909,2021,Micro_04
Wilkne,2021-12-27,106272403152,1,1.851,2021,Micro_01
Wilkne,2021-12-27,106272403152,2,1.845,2021,Micro_01
Wilkne,2021-12-27,106272403152,3,1.85,2021,Micro_01
Wilkne,2021-12-27,106272403152,4,1.862,2021,Micro_01
Wilkne,2021-12-27,106272403916,1,1.865,2021,Micro_02
Wilkne,2021-12-27,106272403916,2,1.864,2021,Micro_02
Wilkne,2021-12-27,106272403916,3,1.84,2021,Micro_02
Wilkne,2021-12-27,106272403916,4,1.869,2021,Micro_02
Wilkne,2021-12-27,116191966583,1,0.0,2021,Micro_04
Wilkne,2021-12-27,116191966583,2,0.0,2021,Micro_04
Wilkne,2021-12-27,116191966583,3,1.824,2021,Micro_04
Wilkne,2021-12-27,116191966583,4,1.813,2021,Micro_04
Wilkne,2021-12-25,106272403152,1,1.847,2021,Micro_01
Wilkne,2021-12-25,106272403152,2,1.839,2021,Micro_01
Wilkne,2021-12-25,106272403152,3,1.832,2021,Micro_01
Wilkne,2021-12-25,106272403152,4,1.846,2021,Micro_01
Wilkne,2021-12-25,106272403916,1,1.837,2021,Micro_02
Wilkne,2021-12-25,106272403916,2,1.838,2021,Micro_02
Wilkne,2021-12-25,106272403916,3,1.815,2021,Micro_02
Wilkne,2021-12-25,106272403916,4,1.85,2021,Micro_02
