Plant Name,Date,SN,Port,Energy,Year,Microinversor
Wilkne,2025-02-02,106272403152,1,2.42,2025,Micro_01
Wilkne,2025-02-02,106272403152,2,2.429,2025,Micro_01
Wilkne,2025-02-02,106272403152,3,2.428,2025,Micro_01
Wilkne,2025-02-02,106272403152,4,2.463,2025,Micro_01
Wilkne,2025-02-02,106272403916,1,2.444,2025,Micro_02
Wilkne,2025-02-02,106272403916,2,2.449,2025,Micro_02
Wilkne,2025-02-02,106272403916,3,2.408,2025,Micro_02
Wilkne,2025-02-02,106272403916,4,2.465,2025,Micro_02
Wilkne,2025-02-02,106272404964,1,0.013,2025,Micro_03
Wilkne,2025-02-02,106272404964,2,2.291,2025,Micro_03
Wilkne,2025-02-02,106272404964,3,2.233,2025,Micro_03
Wilkne,2025-02-02,106272404964,4,2.28,2025,Micro_03
Wilkne,2025-02-16,106272403152,1,2.186,2025,Micro_01
Wilkne,2025-02-16,106272403152,2,2.176,2025,Micro_01
Wilkne,2025-02-16,106272403152,3,2.167,2025,Micro_01
Wilkne,2025-02-16,106272403152,4,2.19,2025,Micro_01
Wilkne,2025-02-16,106272403916,1,2.189,2025,Micro_02
Wilkne,2025-02-16,106272403916,2,2.177,2025,Micro_02
Wilkne,2025-02-16,106272403916,3,2.157,2025,Micro_02
Wilkne,2025-02-16,106272403916,4,2.221,2025,Micro_02
Wilkne,2025-02-16,106272404964,1,0.013,2025,Micro_03
Wilkne,2025-02-16,106272404964,2,2.079,2025,Micro_03
Wilkne,2025-02-16,106272404964,3,2.009,2025,Micro_03
Wilkne,2025-02-16,106272404964,4,2.065,2025,Micro_03
Wilkne,2025-02-17,106272403152,1,2.092,2025,Micro_01
Wilkne,2025-02-17,106272403152,2,2.089,2025,Micro_01
Wilkne,2025-02-17,106272403152,3,2.072,2025,Micro_01
Wilkne,2025-02-17,106272403152,4,2.104,2025,Micro_01
Wilkne,2025-02-17,106272403916,1,2.053,2025,Micro_02
Wilkne,2025-02-17,106272403916,2,2.065,2025,Micro_02
Wilkne,2025-02-17,106272403916,3,2.026,2025,Micro_02
Wilkne,2025-02-17,106272403916,4,2.101,2025,Micro_02
Wilkne,2025-02-17,106272404964,1,0.013,2025,Micro_03
Wilkne,2025-02-17,106272404964,2,1.932,2025,Micro_03
Wilkne,2025-02-17,106272404964,3,1.853,2025,Micro_03
Wilkne,2025-02-17,106272404964,4,1.91,2025,Micro_03
Wilkne,2025-02-03,106272403152,1,2.449,2025,Micro_01
Wilkne,2025-02-03,106272403152,2,2.442,2025,Micro_01
Wilkne,2025-02-03,106272403152,3,2.438,2025,Micro_01
Wilkne,2025-02-03,106272403152,4,2.476,2025,Micro_01
Wilkne,2025-02-03,106272403916,1,2.47,2025,Micro_02
Wilkne,2025-02-03,106272403916,2,2.462,2025,Micro_02
Wilkne,2025-02-03,106272403916,3,2.429,2025,Micro_02
Wilkne,2025-02-03,106272403916,4,2.49,2025,Micro_02
Wilkne,2025-02-03,106272404964,1,0.013,2025,Micro_03
Wilkne,2025-02-03,106272404964,2,2.387,2025,Micro_03
Wilkne,2025-02-03,106272404964,3,2.35,2025,Micro_03
Wilkne,2025-02-03,106272404964,4,2.4,2025,Micro_03
Wilkne,2025-02-15,106272403152,1,2.312,2025,Micro_01
Wilkne,2025-02-15,106272403152,2,2.316,2025,Micro_01
Wilkne,2025-02-15,106272403152,3,2.318,2025,Micro_01
Wilkne,2025-02-15,106272403152,4,2.346,2025,Micro_01
Wilkne,2025-02-15,106272403916,1,2.345,2025,Micro_02
Wilkne,2025-02-15,106272403916,2,2.334,2025,Micro_02
Wilkne,2025-02-15,106272403916,3,2.309,2025,Micro_02
Wilkne,2025-02-15,106272403916,4,2.358,2025,Micro_02
Wilkne,2025-02-15,106272404964,1,0.013,2025,Micro_03
Wilkne,2025-02-15,106272404964,2,2.247,2025,Micro_03
Wilkne,2025-02-15,106272404964,3,2.217,2025,Micro_03
Wilkne,2025-02-15,106272404964,4,2.259,2025,Micro_03
Wilkne,2025-02-01,106272403152,1,2.548,2025,Micro_01
Wilkne,2025-02-01,106272403152,2,2.556,2025,Micro_01
Wilkne,2025-02-01,106272403152,3,2.56,2025,Micro_01
Wilkne,2025-02-01,106272403152,4,2.588,2025,Micro_01
Wilkne,2025-02-01,106272403916,1,2.59,2025,Micro_02
Wilkne,2025-02-01,106272403916,2,2.582,2025,Micro_02
Wilkne,2025-02-01,106272403916,3,2.546,2025,Micro_02
Wilkne,2025-02-01,106272403916,4,2.589,2025,Micro_02
Wilkne,2025-02-01,106272404964,1,0.013,2025,Micro_03
Wilkne,2025-02-01,106272404964,2,2.344,2025,Micro_03
Wilkne,2025-02-01,106272404964,3,2.306,2025,Micro_03
Wilkne,2025-02-01,106272404964,4,2.342,2025,Micro_03
Wilkne,2025-02-14,106272403152,1,2.554,2025,Micro_01
Wilkne,2025-02-14,106272403152,2,2.549,2025,Micro_01
Wilkne,2025-02-14,106272403152,3,2.547,2025,Micro_01
