Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2025-02-12,106272403152,1,2.427
Wilkne,2025-02-12,106272403152,2,2.433
Wilkne,2025-02-12,106272403152,3,2.425
Wilkne,2025-02-12,106272403152,4,2.461
Wilkne,2025-02-12,106272403916,1,2.451
Wilkne,2025-02-12,106272403916,2,2.45
Wilkne,2025-02-12,106272403916,3,2.416
Wilkne,2025-02-12,106272403916,4,2.471
Wilkne,2025-02-12,106272404964,1,0.013
Wilkne,2025-02-12,106272404964,2,2.326
Wilkne,2025-02-12,106272404964,3,2.269
Wilkne,2025-02-12,106272404964,4,2.318
