Plant Name,Date,Sn,Port,Energy (kWh),ID,SN,Microinversor
Wilkne,2022-04-29,,3,2.268,71.0,116191966583.0,Microinversor_5
Wilkne,2022-04-29,,4,2.308,72.0,116191966583.0,Microinversor_5
Wilkne,2022-03-20,,1,1.611,73.0,106272403152.0,Microinversor_2
Wilkne,2022-03-20,,2,1.602,74.0,106272403152.0,Microinversor_2
Wilkne,2022-03-20,,3,1.594,75.0,106272403152.0,Microinversor_2
Wilkne,2022-03-20,,4,1.602,76.0,106272403152.0,Microinversor_2
Wilkne,2022-03-20,,1,1.602,77.0,106272403916.0,Microinversor_3
Wilkne,2022-03-20,,2,1.607,78.0,106272403916.0,Microinversor_3
Wilkne,2022-03-20,,3,1.586,79.0,106272403916.0,Microinversor_3
Wilkne,2022-03-20,,4,1.634,80.0,106272403916.0,Microinversor_3
Wilkne,2022-03-20,,1,0.0,81.0,116191966583.0,Microinversor_5
Wilkne,2022-03-20,,2,0.0,82.0,116191966583.0,Microinversor_5
Wilkne,2022-03-20,,3,1.442,83.0,116191966583.0,Microinversor_5
Wilkne,2022-03-20,,4,1.456,84.0,116191966583.0,Microinversor_5
Wilkne,2023-02-17,,1,1.954,85.0,106272403152.0,Microinversor_2
Wilkne,2023-02-17,,2,1.958,86.0,106272403152.0,Microinversor_2
Wilkne,2023-02-17,,3,1.96,87.0,106272403152.0,Microinversor_2
Wilkne,2023-02-17,,4,1.979,88.0,106272403152.0,Microinversor_2
Wilkne,2023-02-17,,1,1.982,89.0,106272403916.0,Microinversor_3
Wilkne,2023-02-17,,2,1.982,90.0,106272403916.0,Microinversor_3
Wilkne,2023-02-17,,3,1.951,91.0,106272403916.0,Microinversor_3
Wilkne,2023-02-17,,4,1.99,92.0,106272403916.0,Microinversor_3
Wilkne,2023-02-17,,1,0.012,93.0,106272404964.0,Microinversor_4
Wilkne,2023-02-17,,2,1.913,94.0,106272404964.0,Microinversor_4
Wilkne,2023-02-17,,3,1.881,95.0,106272404964.0,Microinversor_4
Wilkne,2023-02-17,,4,1.9,96.0,106272404964.0,Microinversor_4
Wilkne,2023-02-03,,1,2.23,97.0,106272403152.0,Microinversor_2
Wilkne,2023-02-03,,2,2.228,98.0,106272403152.0,Microinversor_2
Wilkne,2023-02-03,,3,2.231,99.0,106272403152.0,Microinversor_2
Wilkne,2023-02-03,,4,2.256,100.0,106272403152.0,Microinversor_2
Wilkne,2023-02-03,,1,2.256,101.0,106272403916.0,Microinversor_3
Wilkne,2023-02-03,,2,2.257,102.0,106272403916.0,Microinversor_3
Wilkne,2023-02-03,,3,2.225,103.0,106272403916.0,Microinversor_3
Wilkne,2023-02-03,,4,2.275,104.0,106272403916.0,Microinversor_3
Wilkne,2023-02-03,,1,0.013,105.0,106272404964.0,Microinversor_4
Wilkne,2023-02-03,,2,2.067,106.0,106272404964.0,Microinversor_4
Wilkne,2023-02-03,,3,2.036,107.0,106272404964.0,Microinversor_4
Wilkne,2023-02-03,,4,2.059,108.0,106272404964.0,Microinversor_4
Wilkne,2024-08-06,,1,2.153,109.0,106272403152.0,Microinversor_2
Wilkne,2024-08-06,,2,2.121,110.0,106272403152.0,Microinversor_2
