Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2024-01-25,106272403152,1,1.275
Wilkne,2024-01-25,106272403152,2,1.28
Wilkne,2024-01-25,106272403152,3,1.281
Wilkne,2024-01-25,106272403152,4,1.296
Wilkne,2024-01-25,106272403916,1,1.289
Wilkne,2024-01-25,106272403916,2,1.285
Wilkne,2024-01-25,106272403916,3,1.268
Wilkne,2024-01-25,106272403916,4,1.295
Wilkne,2024-01-25,106272404964,1,0.011
Wilkne,2024-01-25,106272404964,2,1.245
Wilkne,2024-01-25,106272404964,3,1.25
Wilkne,2024-01-25,106272404964,4,1.256
