Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2024-03-12,106272403152,1,1.827
Wilkne,2024-03-12,106272403152,2,1.834
Wilkne,2024-03-12,106272403152,3,1.831
Wilkne,2024-03-12,106272403152,4,1.847
Wilkne,2024-03-12,106272403916,1,1.837
Wilkne,2024-03-12,106272403916,2,1.835
Wilkne,2024-03-12,106272403916,3,1.811
Wilkne,2024-03-12,106272403916,4,1.851
Wilkne,2024-03-12,106272404964,1,0.011
Wilkne,2024-03-12,106272404964,2,1.817
Wilkne,2024-03-12,106272404964,3,1.774
Wilkne,2024-03-12,106272404964,4,1.802
