Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2024-03-19,106272403152,1,2.147
Wilkne,2024-03-19,106272403152,2,2.138
Wilkne,2024-03-19,106272403152,3,2.135
Wilkne,2024-03-19,106272403152,4,2.15
Wilkne,2024-03-19,106272403916,1,2.145
Wilkne,2024-03-19,106272403916,2,2.137
Wilkne,2024-03-19,106272403916,3,2.113
Wilkne,2024-03-19,106272403916,4,2.174
Wilkne,2024-03-19,106272404964,1,0.013
Wilkne,2024-03-19,106272404964,2,2.085
Wilkne,2024-03-19,106272404964,3,2.042
Wilkne,2024-03-19,106272404964,4,2.092
