Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2024-03-20,106272403152,1,2.341
Wilkne,2024-03-20,106272403152,2,2.327
Wilkne,2024-03-20,106272403152,3,2.334
Wilkne,2024-03-20,106272403152,4,2.355
Wilkne,2024-03-20,106272403916,1,2.326
Wilkne,2024-03-20,106272403916,2,2.319
Wilkne,2024-03-20,106272403916,3,2.274
Wilkne,2024-03-20,106272403916,4,2.36
Wilkne,2024-03-20,106272404964,1,0.015
Wilkne,2024-03-20,106272404964,2,2.433
Wilkne,2024-03-20,106272404964,3,2.373
Wilkne,2024-03-20,106272404964,4,2.439
