Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2025-02-16,106272403152,1,2.186
Wilkne,2025-02-16,106272403152,2,2.176
Wilkne,2025-02-16,106272403152,3,2.167
Wilkne,2025-02-16,106272403152,4,2.19
Wilkne,2025-02-16,106272403916,1,2.189
Wilkne,2025-02-16,106272403916,2,2.177
Wilkne,2025-02-16,106272403916,3,2.157
Wilkne,2025-02-16,106272403916,4,2.221
Wilkne,2025-02-16,106272404964,1,0.013
Wilkne,2025-02-16,106272404964,2,2.079
Wilkne,2025-02-16,106272404964,3,2.009
Wilkne,2025-02-16,106272404964,4,2.065
