Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2024-03-07,106272403152,1,1.966
Wilkne,2024-03-07,106272403152,2,1.962
Wilkne,2024-03-07,106272403152,3,1.955
Wilkne,2024-03-07,106272403152,4,1.974
Wilkne,2024-03-07,106272403916,1,1.97
Wilkne,2024-03-07,106272403916,2,1.967
Wilkne,2024-03-07,106272403916,3,1.945
Wilkne,2024-03-07,106272403916,4,1.997
Wilkne,2024-03-07,106272404964,1,0.012
Wilkne,2024-03-07,106272404964,2,1.832
Wilkne,2024-03-07,106272404964,3,1.779
Wilkne,2024-03-07,106272404964,4,1.821
