Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2024-12-01,106272403152,1,2.149
Wilkne,2024-12-01,106272403152,2,2.126
Wilkne,2024-12-01,106272403152,3,2.119
Wilkne,2024-12-01,106272403152,4,2.158
Wilkne,2024-12-01,106272403916,1,2.104
Wilkne,2024-12-01,106272403916,2,2.122
Wilkne,2024-12-01,106272403916,3,2.092
Wilkne,2024-12-01,106272403916,4,2.152
Wilkne,2024-12-01,106272404964,1,0.012
Wilkne,2024-12-01,106272404964,2,2.031
Wilkne,2024-12-01,106272404964,3,1.981
Wilkne,2024-12-01,106272404964,4,1.983
