Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2024-04-19,106272403152,1,1.381
Wilkne,2024-04-19,106272403152,2,1.386
Wilkne,2024-04-19,106272403152,3,1.386
Wilkne,2024-04-19,106272403152,4,1.398
Wilkne,2024-04-19,106272403916,1,1.399
Wilkne,2024-04-19,106272403916,2,1.392
Wilkne,2024-04-19,106272403916,3,1.378
Wilkne,2024-04-19,106272403916,4,1.403
Wilkne,2024-04-19,106272404964,1,0.011
Wilkne,2024-04-19,106272404964,2,1.452
Wilkne,2024-04-19,106272404964,3,1.462
Wilkne,2024-04-19,106272404964,4,1.473
