Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2025-02-02,106272403152,1,2.42
Wilkne,2025-02-02,106272403152,2,2.429
Wilkne,2025-02-02,106272403152,3,2.428
Wilkne,2025-02-02,106272403152,4,2.463
Wilkne,2025-02-02,106272403916,1,2.444
Wilkne,2025-02-02,106272403916,2,2.449
Wilkne,2025-02-02,106272403916,3,2.408
Wilkne,2025-02-02,106272403916,4,2.465
Wilkne,2025-02-02,106272404964,1,0.013
Wilkne,2025-02-02,106272404964,2,2.291
Wilkne,2025-02-02,106272404964,3,2.233
Wilkne,2025-02-02,106272404964,4,2.28
