Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2024-12-25,106272403152,1,2.374
Wilkne,2024-12-25,106272403152,2,2.379
Wilkne,2024-12-25,106272403152,3,2.383
Wilkne,2024-12-25,106272403152,4,2.416
Wilkne,2024-12-25,106272403916,1,2.394
Wilkne,2024-12-25,106272403916,2,2.394
Wilkne,2024-12-25,106272403916,3,2.354
Wilkne,2024-12-25,106272403916,4,2.409
Wilkne,2024-12-25,106272404964,1,0.013
Wilkne,2024-12-25,106272404964,2,2.21
Wilkne,2024-12-25,106272404964,3,2.179
Wilkne,2024-12-25,106272404964,4,2.218
