Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2024-04-10,106272403152,1,1.506
Wilkne,2024-04-10,106272403152,2,1.511
Wilkne,2024-04-10,106272403152,3,1.512
Wilkne,2024-04-10,106272403152,4,1.526
Wilkne,2024-04-10,106272403916,1,1.529
Wilkne,2024-04-10,106272403916,2,1.521
Wilkne,2024-04-10,106272403916,3,1.504
Wilkne,2024-04-10,106272403916,4,1.532
Wilkne,2024-04-10,106272404964,1,0.012
Wilkne,2024-04-10,106272404964,2,1.628
Wilkne,2024-04-10,106272404964,3,1.63
Wilkne,2024-04-10,106272404964,4,1.651
