Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2024-01-09,106272403152,1,2.342
Wilkne,2024-01-09,106272403152,2,2.347
Wilkne,2024-01-09,106272403152,3,2.354
Wilkne,2024-01-09,106272403152,4,2.387
Wilkne,2024-01-09,106272403916,1,2.347
Wilkne,2024-01-09,106272403916,2,2.354
Wilkne,2024-01-09,106272403916,3,2.306
Wilkne,2024-01-09,106272403916,4,2.368
Wilkne,2024-01-09,106272404964,1,0.014
Wilkne,2024-01-09,106272404964,2,2.302
Wilkne,2024-01-09,106272404964,3,2.256
Wilkne,2024-01-09,106272404964,4,2.299
