Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2024-12-08,106272403152,1,1.634
Wilkne,2024-12-08,106272403152,2,1.618
Wilkne,2024-12-08,106272403152,3,1.605
Wilkne,2024-12-08,106272403152,4,1.632
Wilkne,2024-12-08,106272403916,1,1.595
Wilkne,2024-12-08,106272403916,2,1.602
Wilkne,2024-12-08,106272403916,3,1.593
Wilkne,2024-12-08,106272403916,4,1.64
Wilkne,2024-12-08,106272404964,1,0.012
Wilkne,2024-12-08,106272404964,2,1.498
Wilkne,2024-12-08,106272404964,3,1.473
Wilkne,2024-12-08,106272404964,4,1.477
