Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2024-04-05,106272403152,1,1.827
Wilkne,2024-04-05,106272403152,2,1.83
Wilkne,2024-04-05,106272403152,3,1.821
Wilkne,2024-04-05,106272403152,4,1.829
Wilkne,2024-04-05,106272403916,1,1.782
Wilkne,2024-04-05,106272403916,2,1.773
Wilkne,2024-04-05,106272403916,3,1.752
Wilkne,2024-04-05,106272403916,4,1.813
Wilkne,2024-04-05,106272404964,1,0.012
Wilkne,2024-04-05,106272404964,2,1.739
Wilkne,2024-04-05,106272404964,3,1.7
Wilkne,2024-04-05,106272404964,4,1.723
