Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2024-04-24,106272403152,1,2.216
Wilkne,2024-04-24,106272403152,2,2.213
Wilkne,2024-04-24,106272403152,3,2.201
Wilkne,2024-04-24,106272403152,4,2.217
Wilkne,2024-04-24,106272403916,1,2.228
Wilkne,2024-04-24,106272403916,2,2.218
Wilkne,2024-04-24,106272403916,3,2.205
Wilkne,2024-04-24,106272403916,4,2.25
Wilkne,2024-04-24,106272404964,1,0.013
Wilkne,2024-04-24,106272404964,2,2.352
Wilkne,2024-04-24,106272404964,3,2.331
Wilkne,2024-04-24,106272404964,4,2.386
