Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2025-01-22,106272403152,1,1.694
Wilkne,2025-01-22,106272403152,2,1.7
Wilkne,2025-01-22,106272403152,3,1.692
Wilkne,2025-01-22,106272403152,4,1.708
Wilkne,2025-01-22,106272403916,1,1.703
Wilkne,2025-01-22,106272403916,2,1.7
Wilkne,2025-01-22,106272403916,3,1.682
Wilkne,2025-01-22,106272403916,4,1.723
Wilkne,2025-01-22,106272404964,1,0.011
Wilkne,2025-01-22,106272404964,2,1.488
Wilkne,2025-01-22,106272404964,3,1.473
Wilkne,2025-01-22,106272404964,4,1.489
