Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2024-04-15,106272403152,1,2.004
Wilkne,2024-04-15,106272403152,2,2.001
Wilkne,2024-04-15,106272403152,3,1.995
Wilkne,2024-04-15,106272403152,4,2.014
Wilkne,2024-04-15,106272403916,1,2.017
Wilkne,2024-04-15,106272403916,2,2.01
Wilkne,2024-04-15,106272403916,3,1.992
Wilkne,2024-04-15,106272403916,4,2.039
Wilkne,2024-04-15,106272404964,1,0.013
Wilkne,2024-04-15,106272404964,2,2.116
Wilkne,2024-04-15,106272404964,3,2.07
Wilkne,2024-04-15,106272404964,4,2.124
