Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2022-12-24,106272403152,1,1.32
Wilkne,2022-12-24,106272403152,2,1.324
Wilkne,2022-12-24,106272403152,3,1.323
Wilkne,2022-12-24,106272403152,4,1.333
Wilkne,2022-12-24,106272403916,1,1.331
Wilkne,2022-12-24,106272403916,2,1.332
Wilkne,2022-12-24,106272403916,3,1.312
Wilkne,2022-12-24,106272403916,4,1.34
Wilkne,2022-12-24,116191966583,1,0.011
Wilkne,2022-12-24,116191966583,2,1.254
Wilkne,2022-12-24,116191966583,3,1.243
Wilkne,2022-12-24,116191966583,4,1.24
