Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2023-01-18,106272403152,1,1.97
Wilkne,2023-01-18,106272403152,2,1.978
Wilkne,2023-01-18,106272403152,3,1.969
Wilkne,2023-01-18,106272403152,4,1.99
Wilkne,2023-01-18,106272403916,1,1.977
Wilkne,2023-01-18,106272403916,2,1.987
Wilkne,2023-01-18,106272403916,3,1.956
Wilkne,2023-01-18,106272403916,4,2.005
Wilkne,2023-01-18,106272404964,1,0.011
Wilkne,2023-01-18,106272404964,2,1.765
Wilkne,2023-01-18,106272404964,3,1.712
Wilkne,2023-01-18,106272404964,4,1.728
