Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2023-11-10,106272403152,1,2.47
Wilkne,2023-11-10,106272403152,2,2.469
Wilkne,2023-11-10,106272403152,3,2.49
Wilkne,2023-11-10,106272403152,4,2.515
Wilkne,2023-11-10,106272403916,1,2.517
Wilkne,2023-11-10,106272403916,2,2.501
Wilkne,2023-11-10,106272403916,3,2.477
Wilkne,2023-11-10,106272403916,4,2.512
Wilkne,2023-11-10,116191966583,1,0.013
Wilkne,2023-11-10,116191966583,2,2.33
Wilkne,2023-11-10,116191966583,3,2.351
Wilkne,2023-11-10,116191966583,4,2.379
