Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2023-12-28,106272403152,1,2.34
Wilkne,2023-12-28,106272403152,2,2.352
Wilkne,2023-12-28,106272403152,3,2.35
Wilkne,2023-12-28,106272403152,4,2.387
Wilkne,2023-12-28,106272403916,1,2.361
Wilkne,2023-12-28,106272403916,2,2.365
Wilkne,2023-12-28,106272403916,3,2.321
Wilkne,2023-12-28,106272403916,4,2.377
Wilkne,2023-12-28,116191966583,1,0.013
Wilkne,2023-12-28,116191966583,2,2.29
Wilkne,2023-12-28,116191966583,3,2.239
Wilkne,2023-12-28,116191966583,4,2.271
