Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2023-08-10,106272403152,1,2.157
Wilkne,2023-08-10,106272403152,2,2.147
Wilkne,2023-08-10,106272403152,3,2.133
Wilkne,2023-08-10,106272403152,4,2.152
Wilkne,2023-08-10,106272403916,1,2.144
Wilkne,2023-08-10,106272403916,2,2.141
Wilkne,2023-08-10,106272403916,3,2.129
Wilkne,2023-08-10,106272403916,4,2.172
Wilkne,2023-08-10,116191966583,1,0.012
Wilkne,2023-08-10,116191966583,2,2.359
Wilkne,2023-08-10,116191966583,3,2.346
Wilkne,2023-08-10,116191966583,4,2.368
