Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2023-01-03,106272403152,1,1.758
Wilkne,2023-01-03,106272403152,2,1.765
Wilkne,2023-01-03,106272403152,3,1.761
Wilkne,2023-01-03,106272403152,4,1.782
Wilkne,2023-01-03,106272403916,1,1.773
Wilkne,2023-01-03,106272403916,2,1.78
Wilkne,2023-01-03,106272403916,3,1.748
Wilkne,2023-01-03,106272403916,4,1.791
Wilkne,2023-01-03,106272404964,1,0.012
Wilkne,2023-01-03,106272404964,2,1.674
Wilkne,2023-01-03,106272404964,3,1.636
Wilkne,2023-01-03,106272404964,4,1.65
