Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2023-06-07,106272403152,1,1.729
Wilkne,2023-06-07,106272403152,2,1.733
Wilkne,2023-06-07,106272403152,3,1.724
Wilkne,2023-06-07,106272403152,4,1.738
Wilkne,2023-06-07,106272403916,1,1.736
Wilkne,2023-06-07,106272403916,2,1.736
Wilkne,2023-06-07,106272403916,3,1.723
Wilkne,2023-06-07,106272403916,4,1.754
Wilkne,2023-06-07,116191966583,1,0.012
Wilkne,2023-06-07,116191966583,2,1.864
Wilkne,2023-06-07,116191966583,3,1.852
Wilkne,2023-06-07,116191966583,4,1.873
