Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2023-04-05,106272403152,1,1.635
Wilkne,2023-04-05,106272403152,2,1.636
Wilkne,2023-04-05,106272403152,3,1.637
Wilkne,2023-04-05,106272403152,4,1.651
Wilkne,2023-04-05,106272403916,1,1.658
Wilkne,2023-04-05,106272403916,2,1.654
Wilkne,2023-04-05,106272403916,3,1.635
Wilkne,2023-04-05,106272403916,4,1.667
Wilkne,2023-04-05,116191966583,1,0.011
Wilkne,2023-04-05,116191966583,2,1.731
Wilkne,2023-04-05,116191966583,3,1.712
Wilkne,2023-04-05,116191966583,4,1.734
