Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2023-08-23,106272403152,1,1.793
Wilkne,2023-08-23,106272403152,2,1.791
Wilkne,2023-08-23,106272403152,3,1.788
Wilkne,2023-08-23,106272403152,4,1.806
Wilkne,2023-08-23,106272403916,1,1.792
Wilkne,2023-08-23,106272403916,2,1.792
Wilkne,2023-08-23,106272403916,3,1.769
Wilkne,2023-08-23,106272403916,4,1.805
Wilkne,2023-08-23,116191966583,1,0.012
Wilkne,2023-08-23,116191966583,2,1.921
Wilkne,2023-08-23,116191966583,3,1.896
Wilkne,2023-08-23,116191966583,4,1.91
