Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2023-03-08,106272403152,1,2.598
Wilkne,2023-03-08,106272403152,2,2.603
Wilkne,2023-03-08,106272403152,3,2.599
Wilkne,2023-03-08,106272403152,4,2.624
Wilkne,2023-03-08,106272403916,1,2.625
Wilkne,2023-03-08,106272403916,2,2.627
Wilkne,2023-03-08,106272403916,3,2.595
Wilkne,2023-03-08,106272403916,4,2.648
Wilkne,2023-03-08,116191966583,1,0.013
Wilkne,2023-03-08,116191966583,2,2.502
Wilkne,2023-03-08,116191966583,3,2.439
Wilkne,2023-03-08,116191966583,4,2.48
