Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2023-11-16,106272403152,1,2.486
Wilkne,2023-11-16,106272403152,2,2.481
Wilkne,2023-11-16,106272403152,3,2.502
Wilkne,2023-11-16,106272403152,4,2.517
Wilkne,2023-11-16,106272403916,1,2.53
Wilkne,2023-11-16,106272403916,2,2.495
Wilkne,2023-11-16,106272403916,3,2.493
Wilkne,2023-11-16,106272403916,4,2.524
Wilkne,2023-11-16,116191966583,1,0.013
Wilkne,2023-11-16,116191966583,2,2.285
Wilkne,2023-11-16,116191966583,3,2.297
Wilkne,2023-11-16,116191966583,4,2.324
