Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2023-12-08,106272403152,1,2.349
Wilkne,2023-12-08,106272403152,2,2.367
Wilkne,2023-12-08,106272403152,3,2.369
Wilkne,2023-12-08,106272403152,4,2.404
Wilkne,2023-12-08,106272403916,1,2.4
Wilkne,2023-12-08,106272403916,2,2.394
Wilkne,2023-12-08,106272403916,3,2.357
Wilkne,2023-12-08,106272403916,4,2.411
Wilkne,2023-12-08,116191966583,1,0.013
Wilkne,2023-12-08,116191966583,2,2.201
Wilkne,2023-12-08,116191966583,3,2.166
Wilkne,2023-12-08,116191966583,4,2.193
