Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2023-10-26,106272403152,1,2.059
Wilkne,2023-10-26,106272403152,2,2.037
Wilkne,2023-10-26,106272403152,3,2.047
Wilkne,2023-10-26,106272403152,4,2.079
Wilkne,2023-10-26,106272403916,1,2.046
Wilkne,2023-10-26,106272403916,2,2.047
Wilkne,2023-10-26,106272403916,3,2.011
Wilkne,2023-10-26,106272403916,4,2.063
Wilkne,2023-10-26,116191966583,1,0.012
Wilkne,2023-10-26,116191966583,2,2.159
Wilkne,2023-10-26,116191966583,3,2.125
Wilkne,2023-10-26,116191966583,4,2.14
