Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2023-09-05,106272403152,1,2.135
Wilkne,2023-09-05,106272403152,2,2.119
Wilkne,2023-09-05,106272403152,3,2.111
Wilkne,2023-09-05,106272403152,4,2.138
Wilkne,2023-09-05,106272403916,1,2.114
Wilkne,2023-09-05,106272403916,2,2.115
Wilkne,2023-09-05,106272403916,3,2.094
Wilkne,2023-09-05,106272403916,4,2.142
Wilkne,2023-09-05,116191966583,1,0.012
Wilkne,2023-09-05,116191966583,2,2.224
Wilkne,2023-09-05,116191966583,3,2.199
Wilkne,2023-09-05,116191966583,4,2.217
