Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2023-09-10,106272403152,1,1.763
Wilkne,2023-09-10,106272403152,2,1.757
Wilkne,2023-09-10,106272403152,3,1.751
Wilkne,2023-09-10,106272403152,4,1.778
Wilkne,2023-09-10,106272403916,1,1.743
Wilkne,2023-09-10,106272403916,2,1.752
Wilkne,2023-09-10,106272403916,3,1.727
Wilkne,2023-09-10,106272403916,4,1.77
Wilkne,2023-09-10,116191966583,1,0.012
Wilkne,2023-09-10,116191966583,2,1.799
Wilkne,2023-09-10,116191966583,3,1.747
Wilkne,2023-09-10,116191966583,4,1.756
