Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2023-11-27,106272403152,1,2.108
Wilkne,2023-11-27,106272403152,2,2.093
Wilkne,2023-11-27,106272403152,3,2.09
Wilkne,2023-11-27,106272403152,4,2.106
Wilkne,2023-11-27,106272403916,1,2.088
Wilkne,2023-11-27,106272403916,2,2.079
Wilkne,2023-11-27,106272403916,3,2.061
Wilkne,2023-11-27,106272403916,4,2.125
Wilkne,2023-11-27,116191966583,1,0.012
Wilkne,2023-11-27,116191966583,2,1.833
Wilkne,2023-11-27,116191966583,3,1.8
Wilkne,2023-11-27,116191966583,4,1.815
