Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2023-02-11,106272403152,1,2.437
Wilkne,2023-02-11,106272403152,2,2.425
Wilkne,2023-02-11,106272403152,3,2.424
Wilkne,2023-02-11,106272403152,4,2.444
Wilkne,2023-02-11,106272403916,1,2.44
Wilkne,2023-02-11,106272403916,2,2.437
Wilkne,2023-02-11,106272403916,3,2.405
Wilkne,2023-02-11,106272403916,4,2.475
Wilkne,2023-02-11,106272404964,1,0.014
Wilkne,2023-02-11,106272404964,2,2.305
Wilkne,2023-02-11,106272404964,3,2.257
Wilkne,2023-02-11,106272404964,4,2.293
