Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2023-09-03,106272403152,1,2.102
Wilkne,2023-09-03,106272403152,2,2.093
Wilkne,2023-09-03,106272403152,3,2.089
Wilkne,2023-09-03,106272403152,4,2.118
Wilkne,2023-09-03,106272403916,1,2.096
Wilkne,2023-09-03,106272403916,2,2.099
Wilkne,2023-09-03,106272403916,3,2.072
Wilkne,2023-09-03,106272403916,4,2.115
Wilkne,2023-09-03,116191966583,1,0.013
Wilkne,2023-09-03,116191966583,2,2.223
Wilkne,2023-09-03,116191966583,3,2.193
Wilkne,2023-09-03,116191966583,4,2.208
