Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2023-05-19,106272403152,1,1.553
Wilkne,2023-05-19,106272403152,2,1.557
Wilkne,2023-05-19,106272403152,3,1.555
Wilkne,2023-05-19,106272403152,4,1.568
Wilkne,2023-05-19,106272403916,1,1.568
Wilkne,2023-05-19,106272403916,2,1.564
Wilkne,2023-05-19,106272403916,3,1.55
Wilkne,2023-05-19,106272403916,4,1.577
Wilkne,2023-05-19,116191966583,1,0.012
Wilkne,2023-05-19,116191966583,2,1.671
Wilkne,2023-05-19,116191966583,3,1.67
Wilkne,2023-05-19,116191966583,4,1.685
