Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2023-03-24,106272403152,1,2.423
Wilkne,2023-03-24,106272403152,2,2.409
Wilkne,2023-03-24,106272403152,3,2.408
Wilkne,2023-03-24,106272403152,4,2.429
Wilkne,2023-03-24,106272403916,1,2.436
Wilkne,2023-03-24,106272403916,2,2.432
Wilkne,2023-03-24,106272403916,3,2.4
Wilkne,2023-03-24,106272403916,4,2.465
Wilkne,2023-03-24,116191966583,1,0.013
Wilkne,2023-03-24,116191966583,2,2.499
Wilkne,2023-03-24,116191966583,3,2.422
Wilkne,2023-03-24,116191966583,4,2.48
