Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2023-03-13,106272403152,1,1.902
Wilkne,2023-03-13,106272403152,2,1.905
Wilkne,2023-03-13,106272403152,3,1.905
Wilkne,2023-03-13,106272403152,4,1.922
Wilkne,2023-03-13,106272403916,1,1.92
Wilkne,2023-03-13,106272403916,2,1.919
Wilkne,2023-03-13,106272403916,3,1.896
Wilkne,2023-03-13,106272403916,4,1.935
Wilkne,2023-03-13,116191966583,1,0.012
Wilkne,2023-03-13,116191966583,2,1.804
Wilkne,2023-03-13,116191966583,3,1.792
Wilkne,2023-03-13,116191966583,4,1.802
