Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2024-09-13,106272403152,1,2.136
Wilkne,2024-09-13,106272403152,2,2.094
Wilkne,2024-09-13,106272403152,3,2.082
Wilkne,2024-09-13,106272403152,4,2.108
Wilkne,2024-09-13,106272403916,1,2.066
Wilkne,2024-09-13,106272403916,2,2.073
Wilkne,2024-09-13,106272403916,3,2.061
Wilkne,2024-09-13,106272403916,4,2.129
Wilkne,2024-09-13,106272404964,1,0.013
Wilkne,2024-09-13,106272404964,2,2.164
Wilkne,2024-09-13,106272404964,3,2.129
Wilkne,2024-09-13,106272404964,4,2.17
