Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2024-05-09,106272403152,1,1.997
Wilkne,2024-05-09,106272403152,2,1.998
Wilkne,2024-05-09,106272403152,3,1.986
Wilkne,2024-05-09,106272403152,4,2.001
Wilkne,2024-05-09,106272403916,1,2.009
Wilkne,2024-05-09,106272403916,2,2
Wilkne,2024-05-09,106272403916,3,1.991
Wilkne,2024-05-09,106272403916,4,2.028
Wilkne,2024-05-09,106272404964,1,0.013
Wilkne,2024-05-09,106272404964,2,2.124
Wilkne,2024-05-09,106272404964,3,2.113
Wilkne,2024-05-09,106272404964,4,2.154
