Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2024-06-15,106272403152,1,1.126
Wilkne,2024-06-15,106272403152,2,1.139
Wilkne,2024-06-15,106272403152,3,1.133
Wilkne,2024-06-15,106272403152,4,1.139
Wilkne,2024-06-15,106272403916,1,1.142
Wilkne,2024-06-15,106272403916,2,1.133
Wilkne,2024-06-15,106272403916,3,1.129
Wilkne,2024-06-15,106272403916,4,1.147
Wilkne,2024-06-15,106272404964,1,0.011
Wilkne,2024-06-15,106272404964,2,1.208
Wilkne,2024-06-15,106272404964,3,1.223
Wilkne,2024-06-15,106272404964,4,1.227
