Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2024-08-05,106272403152,1,1.535
Wilkne,2024-08-05,106272403152,2,1.517
Wilkne,2024-08-05,106272403152,3,1.523
Wilkne,2024-08-05,106272403152,4,1.537
Wilkne,2024-08-05,106272403916,1,1.517
Wilkne,2024-08-05,106272403916,2,1.514
Wilkne,2024-08-05,106272403916,3,1.508
Wilkne,2024-08-05,106272403916,4,1.543
Wilkne,2024-08-05,106272404964,1,0.011
Wilkne,2024-08-05,106272404964,2,1.637
Wilkne,2024-08-05,106272404964,3,1.632
Wilkne,2024-08-05,106272404964,4,1.666
