Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2024-11-07,106272403152,1,1.441
Wilkne,2024-11-07,106272403152,2,1.426
Wilkne,2024-11-07,106272403152,3,1.415
Wilkne,2024-11-07,106272403152,4,1.444
Wilkne,2024-11-07,106272403916,1,1.405
Wilkne,2024-11-07,106272403916,2,1.417
Wilkne,2024-11-07,106272403916,3,1.398
Wilkne,2024-11-07,106272403916,4,1.441
Wilkne,2024-11-07,106272404964,1,0.012
Wilkne,2024-11-07,106272404964,2,1.454
Wilkne,2024-11-07,106272404964,3,1.434
Wilkne,2024-11-07,106272404964,4,1.434
