Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2024-02-07,106272403152,1,2.168
Wilkne,2024-02-07,106272403152,2,2.178
Wilkne,2024-02-07,106272403152,3,2.176
Wilkne,2024-02-07,106272403152,4,2.195
Wilkne,2024-02-07,106272403916,1,2.19
Wilkne,2024-02-07,106272403916,2,2.187
Wilkne,2024-02-07,106272403916,3,2.158
Wilkne,2024-02-07,106272403916,4,2.203
Wilkne,2024-02-07,106272404964,1,0.012
Wilkne,2024-02-07,106272404964,2,2.076
Wilkne,2024-02-07,106272404964,3,2.031
Wilkne,2024-02-07,106272404964,4,2.063
