Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2024-02-17,106272403152,1,2.187
Wilkne,2024-02-17,106272403152,2,2.195
Wilkne,2024-02-17,106272403152,3,2.198
Wilkne,2024-02-17,106272403152,4,2.23
Wilkne,2024-02-17,106272403916,1,2.222
Wilkne,2024-02-17,106272403916,2,2.223
Wilkne,2024-02-17,106272403916,3,2.185
Wilkne,2024-02-17,106272403916,4,2.234
Wilkne,2024-02-17,116191966583,1,0.013
Wilkne,2024-02-17,116191966583,2,2.204
Wilkne,2024-02-17,116191966583,3,2.149
Wilkne,2024-02-17,116191966583,4,2.194
