Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2024-09-27,106272403152,1,2.173
Wilkne,2024-09-27,106272403152,2,2.143
Wilkne,2024-09-27,106272403152,3,2.118
Wilkne,2024-09-27,106272403152,4,2.148
Wilkne,2024-09-27,106272403916,1,2.095
Wilkne,2024-09-27,106272403916,2,2.103
Wilkne,2024-09-27,106272403916,3,2.083
Wilkne,2024-09-27,106272403916,4,2.157
Wilkne,2024-09-27,106272404964,1,0.013
Wilkne,2024-09-27,106272404964,2,2.191
Wilkne,2024-09-27,106272404964,3,2.143
Wilkne,2024-09-27,106272404964,4,2.166
