Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2024-12-07,106272403152,1,1.715
Wilkne,2024-12-07,106272403152,2,1.697
Wilkne,2024-12-07,106272403152,3,1.688
Wilkne,2024-12-07,106272403152,4,1.721
Wilkne,2024-12-07,106272403916,1,1.687
Wilkne,2024-12-07,106272403916,2,1.696
Wilkne,2024-12-07,106272403916,3,1.68
Wilkne,2024-12-07,106272403916,4,1.729
Wilkne,2024-12-07,106272404964,1,0.012
Wilkne,2024-12-07,106272404964,2,1.698
Wilkne,2024-12-07,106272404964,3,1.663
Wilkne,2024-12-07,106272404964,4,1.674
