Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2024-09-12,106272403152,1,1.813
Wilkne,2024-09-12,106272403152,2,1.782
Wilkne,2024-09-12,106272403152,3,1.773
Wilkne,2024-09-12,106272403152,4,1.8
Wilkne,2024-09-12,106272403916,1,1.751
Wilkne,2024-09-12,106272403916,2,1.763
Wilkne,2024-09-12,106272403916,3,1.749
Wilkne,2024-09-12,106272403916,4,1.805
Wilkne,2024-09-12,106272404964,1,0.012
Wilkne,2024-09-12,106272404964,2,1.828
Wilkne,2024-09-12,106272404964,3,1.788
Wilkne,2024-09-12,106272404964,4,1.821
