Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2024-04-30,106272403152,1,1.839
Wilkne,2024-04-30,106272403152,2,1.841
Wilkne,2024-04-30,106272403152,3,1.835
Wilkne,2024-04-30,106272403152,4,1.851
Wilkne,2024-04-30,106272403916,1,1.854
Wilkne,2024-04-30,106272403916,2,1.846
Wilkne,2024-04-30,106272403916,3,1.833
Wilkne,2024-04-30,106272403916,4,1.868
Wilkne,2024-04-30,106272404964,1,0.012
Wilkne,2024-04-30,106272404964,2,1.924
Wilkne,2024-04-30,106272404964,3,1.914
Wilkne,2024-04-30,106272404964,4,1.947
