Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2024-07-16,106272403152,1,2.097
Wilkne,2024-07-16,106272403152,2,2.108
Wilkne,2024-07-16,106272403152,3,2.092
Wilkne,2024-07-16,106272403152,4,2.101
Wilkne,2024-07-16,106272403916,1,2.105
Wilkne,2024-07-16,106272403916,2,2.09
Wilkne,2024-07-16,106272403916,3,2.091
Wilkne,2024-07-16,106272403916,4,2.127
Wilkne,2024-07-16,106272404964,1,0.012
Wilkne,2024-07-16,106272404964,2,2.371
Wilkne,2024-07-16,106272404964,3,2.368
Wilkne,2024-07-16,106272404964,4,2.404
