Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2024-10-28,106272403152,1,1.757
Wilkne,2024-10-28,106272403152,2,1.741
Wilkne,2024-10-28,106272403152,3,1.733
Wilkne,2024-10-28,106272403152,4,1.769
Wilkne,2024-10-28,106272403916,1,1.728
Wilkne,2024-10-28,106272403916,2,1.747
Wilkne,2024-10-28,106272403916,3,1.718
Wilkne,2024-10-28,106272403916,4,1.765
Wilkne,2024-10-28,106272404964,1,0.012
Wilkne,2024-10-28,106272404964,2,1.831
Wilkne,2024-10-28,106272404964,3,1.784
Wilkne,2024-10-28,106272404964,4,1.8
