Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2024-01-13,106272403152,1,1.295
Wilkne,2024-01-13,106272403152,2,1.302
Wilkne,2024-01-13,106272403152,3,1.3
Wilkne,2024-01-13,106272403152,4,1.312
Wilkne,2024-01-13,106272403916,1,1.305
Wilkne,2024-01-13,106272403916,2,1.303
Wilkne,2024-01-13,106272403916,3,1.286
Wilkne,2024-01-13,106272403916,4,1.316
Wilkne,2024-01-13,106272404964,1,0.011
Wilkne,2024-01-13,106272404964,2,1.196
Wilkne,2024-01-13,106272404964,3,1.183
Wilkne,2024-01-13,106272404964,4,1.187
