Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2024-04-01,106272403152,1,2.108
Wilkne,2024-04-01,106272403152,2,2.113
Wilkne,2024-04-01,106272403152,3,2.113
Wilkne,2024-04-01,106272403152,4,2.128
Wilkne,2024-04-01,106272403916,1,2.068
Wilkne,2024-04-01,106272403916,2,2.055
Wilkne,2024-04-01,106272403916,3,2.026
Wilkne,2024-04-01,106272403916,4,2.099
Wilkne,2024-04-01,106272404964,1,0.012
Wilkne,2024-04-01,106272404964,2,2.251
Wilkne,2024-04-01,106272404964,3,2.201
Wilkne,2024-04-01,106272404964,4,2.237
