Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2024-09-19,106272403152,1,2.206
Wilkne,2024-09-19,106272403152,2,2.176
Wilkne,2024-09-19,106272403152,3,2.158
Wilkne,2024-09-19,106272403152,4,2.189
Wilkne,2024-09-19,106272403916,1,2.143
Wilkne,2024-09-19,106272403916,2,2.154
Wilkne,2024-09-19,106272403916,3,2.133
Wilkne,2024-09-19,106272403916,4,2.199
Wilkne,2024-09-19,106272404964,1,0.013
Wilkne,2024-09-19,106272404964,2,2.237
Wilkne,2024-09-19,106272404964,3,2.201
Wilkne,2024-09-19,106272404964,4,2.229
