Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2024-04-16,106272403152,1,2.289
Wilkne,2024-04-16,106272403152,2,2.296
Wilkne,2024-04-16,106272403152,3,2.294
Wilkne,2024-04-16,106272403152,4,2.318
Wilkne,2024-04-16,106272403916,1,2.319
Wilkne,2024-04-16,106272403916,2,2.314
Wilkne,2024-04-16,106272403916,3,2.29
Wilkne,2024-04-16,106272403916,4,2.331
Wilkne,2024-04-16,106272404964,1,0.013
Wilkne,2024-04-16,106272404964,2,2.406
Wilkne,2024-04-16,106272404964,3,2.371
Wilkne,2024-04-16,106272404964,4,2.426
