Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2024-10-24,106272403152,1,1.839
Wilkne,2024-10-24,106272403152,2,1.817
Wilkne,2024-10-24,106272403152,3,1.804
Wilkne,2024-10-24,106272403152,4,1.837
Wilkne,2024-10-24,106272403916,1,1.789
Wilkne,2024-10-24,106272403916,2,1.805
Wilkne,2024-10-24,106272403916,3,1.781
Wilkne,2024-10-24,106272403916,4,1.834
Wilkne,2024-10-24,106272404964,1,0.012
Wilkne,2024-10-24,106272404964,2,1.846
Wilkne,2024-10-24,106272404964,3,1.797
Wilkne,2024-10-24,106272404964,4,1.808
