Plant Name,Date,Sn,Port,Energy (kWh)
Wilkne,2025-02-01,106272403152,1,2.548
Wilkne,2025-02-01,106272403152,2,2.556
Wilkne,2025-02-01,106272403152,3,2.56
Wilkne,2025-02-01,106272403152,4,2.588
Wilkne,2025-02-01,106272403916,1,2.59
Wilkne,2025-02-01,106272403916,2,2.582
Wilkne,2025-02-01,106272403916,3,2.546
Wilkne,2025-02-01,106272403916,4,2.589
Wilkne,2025-02-01,106272404964,1,0.013
Wilkne,2025-02-01,106272404964,2,2.344
Wilkne,2025-02-01,106272404964,3,2.306
Wilkne,2025-02-01,106272404964,4,2.342
